experimental phase,cam_id,drink,eat,groom,hang,sniff,rear,rest,walk,eathand
FC-D_postcond,6394839,0.0014480516945181944,0.156843471810089,0.12148773036076836,0.0016115492737779167,0.4476507594096516,0.004107205606746838,0.1907701956114321,0.011638343354677495,0.06444269287833829
FC-D_postcond,6394840,0.0066238481961580515,0.06515890988599093,0.07785827932219273,0.005445933546774949,0.29159988481961574,0.013660100734030926,0.4931584803998125,0.013762835780103075,0.032731727315320945
FC-D_postcond,6394841,0.0051505844249837155,0.09761231634942462,0.05425517478468553,0.007321596583918361,0.25109692769776354,0.011602780994427155,0.5421794709415937,0.009716743866251718,0.021064404356951578
FC-D_postcond,6394846,0.006135551694518193,0.11264763587380917,0.3831868362486334,0.007283695142901764,0.20709774714977355,0.01756134819615805,0.16173204942995476,0.015624267921286896,0.08873086834296423
FC-D_postret,17202338,0.0021893104422778015,0.08974561078140454,0.07586305108096651,0.006775911403136923,0.36393024939946317,0.0054969001695633745,0.3956944591634872,0.012229096015260706,0.048075411544439714
FC-D_postret,17202339,0.0020424879892609864,0.7936263600395647,0.0018011692807686874,0.008238395506570581,0.06105871131835524,0.008488987212095522,0.011909177617634594,0.02821861311290095,0.08461609792284866
FC-D_postret,17202341,0.005972914017238943,0.08610640101738022,0.061625468065564515,0.0011679560548254909,0.46843802988554467,0.0029309294192454436,0.23098329094248973,0.0044015825914935705,0.13837342800621735
FC-D_postret,17202342,0.005575058287409919,0.04722626995902219,0.10897846898403281,0.00857708068390561,0.2515669157128727,0.0031987424049738596,0.5542962678394802,0.005221801257595026,0.01535939487070792
FC-D_postret,17202345,0.007754212590080545,0.058822815105270584,0.08369696728839904,0.0015167973717676983,0.4192756906174933,0.003698159530874665,0.37289966617210685,0.008863881234986574,0.04347181008902076
FC-D_postret,17202346,0.0007277094814186803,0.045227497527200795,0.04455520524233433,0.008048078281757808,0.6440376836936555,0.0046404726579058935,0.199340071711177,0.012620769747067965,0.04080251165748199
FC-D_postret,6394836,0.0015492528613819416,0.35419117387311005,0.19404342412039002,0.003130519641090857,0.1810422407093401,0.006039149710329236,0.16504830789882713,0.009224203405397771,0.08573172778013281
FC-D_postret,6394837,0.013513847675568746,0.04904046559276529,0.12053085700155435,0.0014247297583721917,0.36199351773350275,0.0036924191041401723,0.40344911332485517,0.01301398897838067,0.033341060830860525
FC-D_postret,6394839,0.003831955630917055,0.08864941006076019,0.2519912657199378,0.000773412109650982,0.2246323919033489,0.004489234492016392,0.3894517450897274,0.008934311855305918,0.027246273138335456
FC-D_postret,6394840,0.0024507206443408224,0.0577191076727427,0.12780375688851212,0.0032766797371767695,0.29471041754980926,0.007226755687438179,0.47427140737600687,0.012205692737035465,0.02033546170693797
FC-D_postret,6394841,0.06110441394658752,0.071417973717677,0.053397007912957484,0.0037672654373322027,0.3533766956337431,0.006612309241203899,0.42542037586547965,0.007630572629645331,0.017273385615373747
FC-D_postret,6394846,0.015348355588526213,0.24363430832273564,0.22424005581461076,0.008250759502614101,0.2347512187367529,0.021591290447929914,0.17420097675568744,0.02289988695775046,0.0550831478733927
FC-D_postext,17202338,0.004969850871186183,0.10178374419843265,0.0715190595754394,0.007775526896446777,0.33013296051129887,0.005343861751502701,0.3947526725252985,0.016431275203530396,0.06729104846686451
FC-D_postext,17202339,0.0013553217241917851,0.7720345931594564,0.008280054271435267,0.005898846243948149,0.14016379041074498,0.004167968139934407,0.00024793065750429487,0.019066258004060598,0.048785237388724034
FC-D_postext,17202341,0.22451518869360115,0.07813213307464048,0.030145324507342305,0.0019354409191204445,0.26018412843338656,0.0032500665753633115,0.3553928421973674,0.00445674503538005,0.041988130563798215
FC-D_postext,17202342,0.023698689416419387,0.07006177242638668,0.09274066993837021,0.014529359735220274,0.3319221734002892,0.0027633531157270027,0.4296086795252225,0.005845554667884045,0.02882974777448072
FC-D_postext,17202345,0.009400441299551091,0.07299299056531994,0.07766967206878185,0.003209645819067184,0.28677837061553685,0.006045518526972533,0.47521113900935846,0.011292608232519211,0.05739961386289279
FC-D_postext,17202346,0.0004843357680894772,0.051216902533668104,0.09712346876664382,0.0068648710340105,0.5884800844556037,0.0038913299855436365,0.20109397588069694,0.012388961804762993,0.038456069770980754
FC-D_postext,6394836,0.00214134900707601,0.11716954842882142,0.1489756904816252,0.003078872783991478,0.4709146503842351,0.003101460853686373,0.16349744160389565,0.00913176215475919,0.08198922430190976
FC-D_postext,6394837,0.03772136308300998,0.04838792513124857,0.10502953092901163,0.0019012021608460776,0.3373228619797612,0.004691898729361639,0.42658401810849883,0.011175625808415125,0.02718557406984707
